Date,Title,Description,Banner,Article Link,Author,Content
1 Jun 2026,Voting suspended in parts of Ethiopia over security concerns ,Prime Minister Abiy Ahmed's party is expected to dominate the election as conflicts overshadow the vote.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cn0pngz2rego,1 June 2026ShareSaveAdd as preferred on GoogleKaleb MogesBBC Africa,"Voting in Monday's general election was suspended in parts of Ethiopia's Oromia and Amhara regions due to security concerns, but long voter queues wer..."
31 May 2026,I moved from Ethiopia to Shetland - and I've brought the coffee with me,"Netsanet Sori is bringing a flavour of the farm where she grew up to her new home 4,000 miles away.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cvgz46znz0vo,31 May 2026ShareSaveAdd as preferred on GoogleIona NicolBBC Scotland News,"Shetland has plenty of honesty boxes - filled with fresh eggs, home baking and even pies. However, the 1,000 or so residents on the island of Whalsay ..."
8 May 2026,Ethiopian woman's joy at rare quintuplets after 12 years trying for a baby,"The woman, 35, says she was praying for a baby and was ""overjoyed"" to be ""blessed with five at once"".",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c893y34zlv0o,8 May 2026ShareSaveAdd as preferred on GoogleMichael TeferiBBC Africa,A woman has given birth to rare quintuplets in Ethiopia's Harari Regional state after 12 years of trying for a baby. Bedriya Adem said she and her hus...
18 Apr 2026,Millions listen to Ethiopian star's song taking swipe at government,The country's biggest musician Teddy Afro laments a lack of unity in the country on his new track.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cqj81g5dxkyo,18 April 2026ShareSaveAdd as preferred on GoogleBBC Amharic,"In a country where criticising the authorities has often landed people in trouble, the latest song from Ethiopia's biggest musician – which appears to..."
7 Apr 2026,Ringleader of suspected human trafficking network arrested in Ethiopia,"Yetbarek Dawit is alleged to have operated a multi-million-dollar operation, using torture to raise money.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cn08gx8k5ego,7 April 2026ShareSaveAdd as preferred on GoogleKaleb MogesBBC Africa,Police in Ethiopia have arrested a man accused of being at the centre of a multi-million-dollar international human trafficking ring that since 2018 h...
30 Mar 2026,Rationing power and diluting petrol - how African countries are coping with effects of Iran war,The disruption in oil supplies has caused shortages and concerns in several African countries.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cq8wkq1n9epo,"30 March 2026ShareSaveAdd as preferred on GoogleBasillioh Rukanga,Nairobi,Shingai Nyoka,Harare,Hafsa KhalilandMakuochi Okafor,Lagos",Countries across Africa have taken measures such as diluting petrol and restricting electricity consumption to cope with the fuel crisis triggered by ...
28 Mar 2026,Shops and restaurants in Egypt told to close early as energy crisis deepens,Retail and dining premises will have to shut by 21:00 each night for the next month to conserve power.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c0rxz7ggv8go,28 March 2026ShareSaveAdd as preferred on GoogleAleks Phillips,"Shops, restaurants and cafes in Egypt have been told to close early as part of a raft of temporary measures to combat soaring energy prices caused by ..."
12 Mar 2026,Death toll from Ethiopia floods and landslides rises to more than 100,"Forecasters say storms are becoming more intense in the region, partly due to global warming.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/ce947x4m0e1o,12 March 2026ShareSaveAdd as preferred on GoogleMichael TeferiBBC Africa,"At least 102 people have been killed in floods and landslides triggered by heavy rains in the Gamo Zone of southern Ethiopia, the local authority has ..."
6 Mar 2026,The young women who fought in Ethiopia's last civil war and don't want to see another one,"Female fighters recall how the conflict in the northern Tigray destroyed their lives, as fears grow that fighting could resume.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cyv959eyjgjo,6 March 2026ShareSaveAdd as preferred on GoogleHana ZeratsyonBBC Tigrinya,Twenty-two-year-old Abeba Amdu has seen some of the best years of her life consumed by war - and she has no wish to see another conflict in Ethiopia's...
5 Mar 2026,Ethiopia experiments with 'smart' police stations that have no officers,A project to introduce unmanned sites is part of a broader adoption of digital technologies.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cjd9jgnrdpko,"5 March 2026ShareSaveAdd as preferred on GoogleDaniel DadzieBBC Focus on Africa, Addis Ababa",Computer tablet screens glow inside a row of partitioned booths at a new-style Ethiopian police station. There is no commotion. There is no front desk...
